full date,Country_Region,population,total,one_shot,one_shot_perc,two_shots,two_shots_perc,three_shots,three_shots_perc
2020-04-08,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-08,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-09,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-10,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-11,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
