full date,Country_Region,Confirmed,Recovered,Deaths,Case_Fatality_Ratio,Active,Incident_Rate,confirmed_1d,deaths_1d,confirmed_moving_avg_7d,deaths_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,deaths_moving_avg_7d_rate_14d
2022-06-02,Canada,3888659.0,0.0,41103.0,0.010569967693233066,3847556.0,38.88659,4512.0,85.0,-550184.4285714285,-5781.571428571428,-128.53463805550035,-91.33705357142857
2022-06-03,Canada,3891746.0,0.0,41243.0,0.01059755698342081,3850503.0,38.91746,3087.0,140.0,2568.4285714285716,46.57142857142857,-0.3586029752773715,-0.20487804878048776
2022-06-04,Canada,3895246.0,0.0,41271.0,0.010595222997469223,3853975.0,38.95246,3500.0,28.0,2315.5714285714284,43.42857142857143,-0.3991325622775801,-0.3244444444444444
2022-06-05,Canada,3896906.0,0.0,41292.0,0.010596098545872033,3855614.0,38.96906,1660.0,21.0,2382.714285714286,43.0,-0.33385254413291787,-0.3266219239373601
2022-06-06,Canada,3897778.0,0.0,41298.0,0.010595267354887836,3856480.0,38.97778,872.0,6.0,2367.285714285714,43.42857142857143,-0.3532763532763533,-0.30909090909090897
2022-06-07,Canada,3898648.0,0.0,41300.0,0.010593415973947891,3857348.0,38.98648,870.0,2.0,2361.0,43.57142857142857,-0.3744511733535201,-0.30523917995444194
2022-06-08,Canada,3901584.0,0.0,41310.0,0.010588007332406531,3860274.0,39.01584,2936.0,10.0,2491.0,41.714285714285715,-0.36595032907894265,-0.3302752293577982
2022-06-09,Canada,3905326.0,0.0,41345.0,0.010586824249755334,3863981.0,39.05326,3742.0,35.0,2381.0,34.57142857142857,-0.9957216843631376,-0.9941381649065013
2022-06-10,Canada,3907640.0,0.0,41449.0,0.010607169544789182,3866191.0,39.0764,2314.0,104.0,2270.5714285714284,29.428571428571427,-0.3227373444690643,-0.6113207547169811
2022-06-11,Canada,3912404.0,0.0,41507.0,0.010609078203580202,3870897.0,39.12404,4764.0,58.0,2451.1428571428573,33.714285714285715,-0.2941418463057429,-0.38701298701298703
2022-06-12,Canada,3916322.0,0.0,41512.0,0.01059974128787163,3874810.0,39.16322,3918.0,5.0,2773.714285714286,31.428571428571427,-0.012662090007627747,-0.327217125382263
2022-06-13,Canada,3917743.0,0.0,41516.0,0.010596917664073422,3876227.0,39.17743,1421.0,4.0,2852.1428571428573,31.142857142857142,0.036496729311598086,-0.2875816993464052
